id,occ_date,occ_year,premises_type,bike_cost,cost_group
14177,2018-01-19,2018,Commercial,700,500<1000
14178,2018-01-18,2018,Other,298,<500
14179,2018-01-18,2018,Apartment,800,500<1000
14180,2018-01-18,2018,Commercial,700,500<1000
14181,2018-01-20,2018,Outside,350,<500
14182,2017-10-24,2017,Apartment,200,<500
14183,2018-01-19,2018,Apartment,900,500<1000
14184,2018-01-20,2018,Apartment,800,500<1000
14185,2018-01-15,2018,Apartment,800,500<1000
14186,2018-01-21,2018,Apartment,3000,2000<
14187,2018-01-22,2018,Apartment,800,500<1000
14188,2018-01-19,2018,Other,1000,1000<1500
14189,2018-01-19,2018,House,1800,1500<2000
14191,2018-01-21,2018,Other,500,500<1000
14192,2018-01-19,2018,Outside,2056,2000<
14193,2018-01-22,2018,Apartment,1500,1500<2000
14194,2018-01-05,2018,Outside,599,500<1000
14195,2018-01-22,2018,House,300,<500
14196,2018-01-23,2018,Commercial,400,<500
14197,2018-01-18,2018,Outside,200,<500
14198,2018-01-21,2018,Other,800,500<1000
14199,2018-01-14,2018,Educational,520,500<1000
14200,2018-01-21,2018,Other,3500,2000<
14201,2018-01-23,2018,Outside,750,500<1000
14202,2018-01-25,2018,Outside,400,<500
14204,2018-01-24,2018,Other,1500,1500<2000
14205,2018-01-26,2018,Outside,1600,1500<2000
14206,2018-01-20,2018,Apartment,500,500<1000
14207,2018-01-25,2018,Apartment,1009,1000<1500
14208,2017-11-20,2017,Educational,300,<500
14209,2017-11-01,2017,Outside,550,500<1000
14210,2018-01-25,2018,Outside,559.99,500<1000
14211,2018-01-26,2018,Other,1200,1000<1500
14212,2018-01-27,2018,Other,26,<500
14213,2018-01-27,2018,Outside,200,<500
14214,2018-01-28,2018,Commercial,3000,2000<
14215,2018-01-27,2018,Commercial,900,500<1000
14216,2018-01-29,2018,Apartment,1500,1500<2000
14218,2018-01-29,2018,Apartment,350,<500
14219,2017-11-24,2017,Educational,300,<500
14220,2017-11-22,2017,Outside,595,500<1000
14221,2018-01-19,2018,Apartment,900,500<1000
14222,2017-11-21,2017,Educational,1500,1500<2000
14224,2017-11-25,2017,Educational,150,<500
14225,2018-01-22,2018,Outside,3154,2000<
14226,2018-01-22,2018,Outside,1946,1500<2000
14227,2018-01-27,2018,Apartment,800,500<1000
14228,2018-01-30,2018,Commercial,1000,1000<1500
14229,2018-01-29,2018,Commercial,1600,1500<2000
14230,2017-12-13,2017,Educational,400,<500
14231,2018-02-01,2018,Commercial,1300,1000<1500
14232,2018-02-02,2018,Educational,500,500<1000
14233,2018-02-04,2018,Other,200,<500
14234,2018-02-04,2018,Apartment,2343,2000<
14235,2017-12-18,2017,Apartment,200,<500
14236,2018-02-03,2018,Outside,699.99,500<1000
14237,2018-02-01,2018,Other,1000,1000<1500
14239,2018-02-05,2018,Apartment,3500,2000<
14240,2018-02-06,2018,Apartment,1250,1000<1500
14241,2018-02-06,2018,Apartment,850,500<1000
14242,2017-09-20,2017,Commercial,700,500<1000
14244,2018-01-25,2018,Educational,700,500<1000
14246,2018-02-07,2018,Outside,700,500<1000
14247,2018-02-06,2018,Apartment,6000,2000<
14248,2018-01-02,2018,Apartment,4000,2000<
14249,2018-02-05,2018,Apartment,220,<500
14250,2018-02-03,2018,Apartment,800,500<1000
14251,2018-02-05,2018,Apartment,1350,1000<1500
14252,2018-02-07,2018,Commercial,1000,1000<1500
14253,2018-02-07,2018,Apartment,100,<500
14255,2018-02-08,2018,Outside,1500,1500<2000
14256,2018-02-08,2018,Apartment,800,500<1000
14257,2017-12-19,2017,Apartment,600,500<1000
14258,2018-02-09,2018,Outside,400,<500
14259,2017-12-17,2017,Apartment,10794.89,2000<
14260,2018-02-09,2018,Outside,400,<500
14262,2018-02-06,2018,Outside,499,<500
14264,2017-08-11,2017,Outside,2800,2000<
14265,2018-01-15,2018,Outside,7000,2000<
14266,2018-02-09,2018,Apartment,700,500<1000
14267,2018-02-11,2018,Apartment,600,500<1000
14268,2018-02-11,2018,Apartment,1219,1000<1500
14269,2018-02-05,2018,Outside,2000,2000<
14270,2018-02-07,2018,Apartment,1500,1500<2000
14271,2018-02-07,2018,Apartment,1500,1500<2000
14272,2018-02-12,2018,Apartment,2500,2000<
14273,2018-02-12,2018,Apartment,500,500<1000
14274,2018-02-15,2018,Outside,1200,1000<1500
14275,2018-02-15,2018,Apartment,300,<500
14276,2018-02-16,2018,Apartment,500,500<1000
14277,2018-02-17,2018,Apartment,2558,2000<
14278,2018-02-15,2018,Outside,250,<500
14279,2018-01-28,2018,Apartment,5000,2000<
14280,2018-02-15,2018,Outside,250,<500
14281,2018-02-17,2018,Outside,1500,1500<2000
14282,2018-02-18,2018,House,50,<500
14283,2018-02-15,2018,Outside,2000,2000<
14285,2018-02-17,2018,Apartment,3000,2000<
14286,2018-02-19,2018,Apartment,600,500<1000
14287,2018-02-19,2018,Apartment,2300,2000<
14288,2018-02-17,2018,Apartment,3000,2000<
14289,2018-02-18,2018,House,150,<500
14290,2018-02-18,2018,Apartment,1000,1000<1500
14291,2018-02-18,2018,House,250,<500
14292,2018-02-18,2018,Apartment,300,<500
14293,2018-02-15,2018,Outside,100,<500
14294,2018-02-16,2018,Commercial,900,500<1000
14295,2018-02-22,2018,Commercial,3000,2000<
14296,2018-02-19,2018,Apartment,700,500<1000
14297,2018-02-22,2018,Other,750,500<1000
14298,2018-02-22,2018,Apartment,1000,1000<1500
14299,2016-11-30,2016,Outside,100,<500
14300,2018-02-19,2018,Apartment,1000,1000<1500
14301,2018-02-19,2018,Apartment,600,500<1000
14302,2018-02-22,2018,Commercial,480,<500
14303,2018-02-23,2018,House,500,500<1000
14304,2018-02-22,2018,Apartment,499,<500
14305,2018-02-23,2018,House,300,<500
14306,2017-12-25,2017,Outside,350,<500
14307,2018-02-23,2018,House,300,<500
14308,2018-02-23,2018,Other,600,500<1000
14309,2018-02-23,2018,Commercial,200,<500
14310,2018-02-24,2018,House,1500,1500<2000
